equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,1019,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,9/18/2022,PU,0.20,0.00,0.00,11/21/2022,Primo Uy - 11/21/22  7:59:27 AM: Done,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,3314,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,5/21/2023,PU,0.20,0.00,0.00,5/19/2023,Primo Uy - 05/22/23  7:46:01 AM: Done,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,5740,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,11/22/2023,PU,0.20,0.00,0.00,11/21/2023,Primo Uy - 01/12/24  9:32:29 AM: Done.  Late update.,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,9702,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,7/12/2024,PU,0.00,0.00,0.00,7/12/2024,Primo Uy - 08/05/24 10:21:23 AM: Done,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,12629,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,2/5/2025,md,0.00,0.00,0.00,3/12/2025,Miguel Diaz - 03/12/25  8:32:05 AM: added this equipment to the correct department we no longer have assembly as a department,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,15035,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,9/12/2025,PU,0.20,0.00,0.00,9/12/2025,Primo Uy - 09/12/25  8:27:53 AM: Done,[]
2139,EQ ID 2139,Margarita Machine,Soap Dispenser Assembly,16986,"*Check the condition of the jaws
*Check Air Pressure
*Check door safety device",Closed and Completed,3/12/2026,PU,0.00,0.00,0.00,3/12/2026,Primo Uy - 04/09/26  1:17:05 PM: Not in Service,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,15,Check Follower Head for glue buildup it should swivel easily,Closed and Completed,4/18/2022,Primou,0.50,0.00,0.00,4/18/2022,Primo Uy - 04/18/22 12:56:55 PM: Done.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,16,"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",Closed and Completed,9/18/2022,PU,0.40,0.00,0.00,9/1/2022,Primo Uy - 09/01/22 12:02:11 PM: Done,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,2590,Check Follower Head for glue buildup it should swivel easily,Closed without Action,11/13/2022,PU,0.00,0.00,0.00,11/8/2022,Primo Uy - 11/08/22  2:56:28 PM: N/A. Replaced by a robotic arm.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3178,Check Follower Head for glue buildup it should swivel easily,Closed without Action,12/8/2022,PU,0.00,0.00,0.00,12/7/2022,Primo Uy - 12/07/22  9:40:41 AM: the machine was replaced by the Robotic Arm. Will ask ME/IT to update the PM.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3507,Check Follower Head for glue buildup it should swivel easily,Closed and Completed,1/7/2023,PU,0.00,0.00,0.00,1/11/2023,Primo Uy - 01/11/23  9:35:58 AM: Obsolete,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,3905,Check Follower Head for glue buildup it should swivel easily,Closed without Action,2/11/2023,PU,0.00,0.00,0.00,2/9/2023,Primo Uy - 02/09/23  9:39:42 AM: Obsolete. Replaced with a Robotic Arm.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4291,Check Follower Head for glue buildup it should swivel easily,Closed without Action,3/9/2023,PU,0.00,0.00,0.00,3/8/2023,Primo Uy - 03/08/23  2:06:27 PM: OBSOLETE,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,14,Check hoses and rubber parts (replace as needed),Closed and Completed,3/18/2023,PU,0.20,0.00,0.00,3/20/2023,Primo Uy - 03/20/23  7:14:21 AM: Done,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4732,Check Follower Head for glue buildup it should swivel easily,Closed without Action,4/8/2023,PU,0.00,0.00,0.00,4/5/2023,Primo Uy - 04/05/23  7:54:06 AM: Replaced by the 4112 Glue Robotic Arm. This should be in OBSOLETE... ME need to update machine status.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,2591,"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",Closed without Action,4/13/2023,PU,0.00,0.00,0.00,4/11/2023,Primo Uy - 04/12/23  8:02:02 AM: Obsolete. Replace by Robotic Arm,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5156,Check Follower Head for glue buildup it should swivel easily,Closed without Action,5/5/2023,PU,0.00,0.00,0.00,5/2/2023,Primo Uy - 05/02/23 10:10:04 AM: OBSOLETE.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5527,Check Follower Head for glue buildup it should swivel easily,Closed without Action,6/2/2023,PU,0.00,0.00,0.00,6/1/2023,Primo Uy - 06/01/23  7:26:03 AM: Not in service. Scrap.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5849,Check Follower Head for glue buildup it should swivel easily,Closed without Action,7/1/2023,PU,0.00,0.00,0.00,6/30/2023,Primo Uy - 07/05/23  7:07:49 AM: Machine no longer in service.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,6293,Check Follower Head for glue buildup it should swivel easily,Closed without Action,8/5/2023,PU,0.00,0.00,0.00,7/25/2023,Primo Uy - 07/25/23  7:37:32 AM: Obsolete.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,6594,Check Follower Head for glue buildup it should swivel easily,Closed without Action,8/25/2023,PU,0.00,0.00,0.00,8/28/2023,Primo Uy - 08/28/23  9:11:58 AM: Scrap/Obsolete.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,5257,"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",Closed without Action,10/12/2023,PU,0.00,0.00,0.00,10/11/2023,Primo Uy - 10/12/23  7:42:02 AM: Obsolete,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7035,Check Follower Head for glue buildup it should swivel easily,Closed without Action,9/28/2023,PU,0.00,0.00,0.00,10/12/2023,Primo Uy - 10/12/23  7:29:53 AM: Scrap. Not in Service.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7602,Check Follower Head for glue buildup it should swivel easily,Closed without Action,11/12/2023,PU,0.00,0.00,0.00,11/13/2023,Primo Uy - 11/13/23  9:49:00 AM: Obsolete. Replaced by the Robotic arms.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,8023,Check Follower Head for glue buildup it should swivel easily,Closed without Action,12/13/2023,PU,0.00,0.00,0.00,12/13/2023,Primo Uy - 12/15/23  7:52:32 AM: SCRAP.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,9369,Check Follower Head for glue buildup it should swivel easily,Closed without Action,1/15/2024,PU,0.00,0.00,0.00,1/15/2024,Primo Uy - 01/15/24  1:44:25 PM: Obsolete,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,9714,Check Follower Head for glue buildup it should swivel easily,Closed without Action,2/15/2024,PU,0.00,0.00,0.00,2/14/2024,Primo Uy - 02/14/24  8:45:39 AM: SCRAP. / OBSOLETE.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10352,Check Follower Head for glue buildup it should swivel easily,Closed without Action,3/14/2024,PU,0.00,0.00,0.00,3/7/2024,Primo Uy - 03/07/24  8:24:52 AM: Obsolete-Scrap,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,4905,Check hoses and rubber parts (replace as needed),Closed without Action,3/20/2024,PU,0.00,0.00,0.00,3/20/2024,Primo Uy - 03/20/24  7:38:06 AM: Scrap,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10662,Check Follower Head for glue buildup it should swivel easily,Closed without Action,4/7/2024,PU,0.00,0.00,0.00,4/5/2024,Primo Uy - 04/08/24  7:48:37 AM: Scrap/Obsolete,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,7618,"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",Closed without Action,4/12/2024,PU,0.00,0.00,0.00,4/11/2024,"Primo Uy - 04/11/24  8:01:37 AM: Obsolete, Scrap.",[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10971,Check Follower Head for glue buildup it should swivel easily,Closed without Action,5/8/2024,PU,0.00,0.00,0.00,5/8/2024,Primo Uy - 05/09/24  7:40:55 AM: Obsolete,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,11611,Check Follower Head for glue buildup it should swivel easily,Closed without Action,6/9/2024,PU,0.00,0.00,0.00,6/10/2024,Primo Uy - 06/24/24 12:08:38 PM: Replace by robotic arm glue dispenser.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,11081,"(1) Clean and lube moving parts;
(2) Check and tighten all screws. Check sensor",Closed without Action,10/11/2024,PU,0.00,0.00,0.00,10/10/2024,Primo Uy - 10/10/24 10:04:54 AM: Obsolete.,[]
18,EQ ID 18,4112 Glue Machine,Soap Dispenser Assembly,10780,Check hoses and rubber parts (replace as needed),Closed without Action,3/20/2025,PU,0.00,0.00,0.00,3/19/2025,Primo Uy - 03/19/25  9:16:03 AM: Replece by robotic arm.,[]
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,20205,"(1) Inspect both vacuum filters (one per arm);
(2) Clean Vacuum System by applying reverse air pressure through     the system.
(3) Check and change filter if needed
(2) Tighten hardware",Pending,9/3/2026,,0.00,0.00,0.00,,,[]
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,20206,"Inspect all cylinders, flow controller, and its sensors for tightness and proper operation;

Check all safeties and E-stops for proper operation",Pending,9/3/2026,,0.00,0.00,0.00,,,[]
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,99,"Inspect all cylinders, flow controller, and its sensors for tightness and proper operation;

Check all safeties and E-stops for proper operation",Closed and Completed,4/18/2022,PU,0.50,0.00,0.00,4/19/2022,Primo Uy - 04/19/22  2:52:56 PM: Done,[]
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,97,"(1) Inspect both vacuum filters (one per arm);
(2) Clean Vacuum System by applying reverse air pressure through     the system.
(3) Check and change filter if needed
(2) Tighten hardware",Closed and Completed,4/18/2022,PU,1.00,0.00,0.00,4/19/2022,Primo Uy - 04/19/22  2:50:41 PM: Done,[]
114,EQ ID 114,"Cartoner, 822, Econoseal E-System 2000 #2",Soap Dispenser Assembly,98,Lubricate bearing on vacuum arm shaft,Closed and Completed,9/18/2022,PU,0.35,0.00,0.00,9/7/2022,Primo Uy - 09/07/22 12:06:44 PM: Use grease gun.,[]
